area;ind;behavior;sp;fortnight
SABOJI;O582;FEEDING;ory_cun;21
SABMAR;M843;FEEDING;tur_phi;21
SABMAR;M843;NO FEEDING;chl_chl;21
SABMAR;M843;FEEDING;tur_phi;21
SABMAR;M843;NO FEEDING;tur_phi;21
SABMAR;M843;FEEDING;chl_chl;21
SABMAR;M843;FEEDING;chl_chl;21
SABMAR;M843;FEEDING;ory_cun;21
SABCOL;C285;NO FEEDING;tur_phi;21
SABMAR;M843;FEEDING;chl_chl;21
SABMAR;M843;FEEDING;chl_chl;21
SABCOL;C057;NO FEEDING;tur_phi;21
SABCOL;C285;NO FEEDING;tur_phi;21
SABCOL;C285;NO FEEDING;tur_phi;21
SABCOL;C285;NO FEEDING;tur_phi;21
SABOJI;O582;NO FEEDING;tur_phi;21
SABOJI;O582;NO FEEDING;tur_phi;21
SABOJI;O582;FEEDING;tur_phi;21
SABMAR;M843;FEEDING;chl_chl;21
SABMAR;M843;FEEDING;chl_chl;21
SABMAR;M843;FEEDING;tur_phi;21
SABOJI;O136;FEEDING;cer_ela;21
SABOJI;O136;FEEDING;cer_ela;21
SABOJI;O582;FEEDING;tur_phi;21
SABOJI;O582;FEEDING;tur_phi;21
SABOJI;O582;NO FEEDING;tur_phi;21
